SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_B100000678	TARA_20110726Z	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_B100001115	TARA_20110726Z	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_B100000949	TARA_20110520Z	TARA_112	TARA_20110615T1845Z_112_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.441733	0.535696	0.695267	0.785646	0.056896	0.155786	6787.964777	6740.502738	6.721536169	4077.01	7.306650643	20947.6	0.734353159
TARA_B100000945	TARA_20110520Z	TARA_112	TARA_20110615T0059Z_112_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.441733	0.535696	0.695267	0.785646	0.056896	0.155786	4437.25988	4283.307407	6.577501662	2987.17	7.166811006	17754	0.732475849
TARA_B100000941	TARA_20110520Z	TARA_112	TARA_20110614T1645Z_112_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.441733	0.535696	0.695267	0.785646	0.056896	0.155786	4080.856211	4020.66708	6.520954544	2653.47	7.120657847	16501.9	0.733239582
TARA_B100000586	TARA_20110520Z	TARA_111	TARA_20110601T1603Z_111_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.599757	0.811694	0.423264	0.555637	0.504124	0.463204	4822.559469	4701.916339	6.674822174	3032.94	7.140680057	17558	0.73063419
TARA_B100000579	TARA_20110520Z	TARA_111	TARA_20110531T2030Z_111_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.599757	0.811694	0.423264	0.555637	0.504124	0.463204	4019.574006	3846.318774	6.687022359	2758.1	7.095412103	15057.3	0.737598349
TARA_B100000575	TARA_20110520Z	TARA_111	TARA_20110531T1425Z_111_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.599757	0.811694	0.423264	0.555637	0.504124	0.463204	3596.851063	3453.147623	6.628351803	2470.46	7.129903529	14493.5	0.744136035
TARA_B100001079	TARA_20110520Z	TARA_110	TARA_20110522T1320Z_110_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.54627	1.14623	0.2861	0.969807	0.838535	0.713291	5912.116367	5609.48481	7.181018104	4046.02	7.221278187	19565.3	0.730786905
TARA_B100001113	TARA_20110520Z	TARA_110	TARA_20110521T2100Z_110_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.54627	1.14623	0.2861	0.969807	0.838535	0.713291	4206.588394	4039.194728	6.796421877	2873.86	7.190529562	16528.4	0.740312164
TARA_B100001109	TARA_20110520Z	TARA_110	TARA_20110521T1227Z_110_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.54627	1.14623	0.2861	0.969807	0.838535	0.713291	3819.840479	3631.327406	6.734784222	2639.68	7.18156031	15813.9	0.742768403
TARA_B100000929	TARA_20110509Z	TARA_109	TARA_20110513T1617Z_109_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.60986	0.924485	0.469593	0.880762	0.579228	0.500877	4998.544817	4926.656332	6.832154721	3372.01	7.292705309	18991.5	0.740244987
TARA_B100000927	TARA_20110509Z	TARA_109	TARA_20110512T2215Z_109_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.60986	0.924485	0.469593	0.880762	0.579228	0.500877	NA	NA	NA	NA	NA	NA	NA
TARA_B100000925	TARA_20110509Z	TARA_109	TARA_20110512T1400Z_109_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.60986	0.924485	0.469593	0.880762	0.579228	0.500877	NA	NA	NA	NA	NA	NA	NA
TARA_B100000902	TARA_20110401Z	TARA_102	TARA_20110422T2113Z_102_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.507222	1.01916	0.376187	0.804888	0.895395	0.75472	4240.666905	4111.077629	6.781488894	2931.41	7.171533049	15878.3	0.741419505
TARA_B100000953	TARA_20110401Z	TARA_102	TARA_20110422T1210Z_102_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.507222	1.01916	0.376187	0.804888	0.895395	0.75472	4723.346213	4642.51726	6.680479401	3108.36	7.187370407	17457.4	0.735844273
TARA_B100000900	TARA_20110401Z	TARA_102	TARA_20110421T2007Z_102_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.507222	1.01916	0.376187	0.804888	0.895395	0.75472	3197.769229	3092.856531	6.615299747	2293.39	7.134150008	13566	0.749754292
TARA_B100000959	TARA_20110401Z	TARA_100	TARA_20110416T1306Z_100_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	4805.282165	4685.670783	6.67828735	3171.92	7.230796663	17447.9	0.740331364
TARA_B100000965	TARA_20110401Z	TARA_100	TARA_20110415T1938Z_100_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	4404.434487	4229.796196	6.829191226	3053.3	7.247579215	18464.5	0.73777195
TARA_B100000963	TARA_20110401Z	TARA_100	TARA_20110415T1245Z_100_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	3503.551418	3458.745515	6.603491612	2411.64	7.165955562	14283	0.749042476
TARA_B100000886	TARA_20110401Z	TARA_099	TARA_20110409T1356Z_099_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.576329	0.86206	0.670011	0.853402	0.097739	0.230916	3184.902672	3089.805901	6.40197793	2236.97	7.106772008	13751.3	0.74581386
TARA_B100001013	TARA_20110401Z	TARA_098	TARA_20110404T1359Z_098_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.187939	0.566961	0.475933	0.723323	NA	0.317446	4911.566965	4841.996876	6.538486008	3102.61	7.096196319	17162.4	0.727779536
TARA_B100001029	TARA_20110401Z	TARA_098	TARA_20110403T2150Z_098_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.187939	0.566961	0.475933	0.723323	NA	0.317446	3972.082944	3844.486814	6.469351374	2716.87	7.095084552	14256.3	0.741779486
