parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
POC	particulate organic carbon	http://purl.obolibrary.org/obo/PMO_00000103	TRUE	microgram per liter	http://purl.obolibrary.org/obo/UO_0000301			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
[NO2]-	concentration of nitrite in water	http://purl.obolibrary.org/obo/ENVO_3100023	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
DOC	dissolved organic carbon	http://purl.obolibrary.org/obo/PMO_00000102	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Plank nano/micro	nanoplankton and microplankton aggregate	http://purl.obolibrary.org/obo/PMO_00000101	TRUE	unit per cubic meter	http://purl.obolibrary.org/obo/PMO_00000129			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
PAR	visible spectrum stellar radiation	http://purl.obolibrary.org/obo/ENVO_01001215	TRUE	micromole per square meter per second	http://purl.obolibrary.org/obo/PMO_00000126			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Cond	conductivity of water	http://purl.obolibrary.org/obo/ENVO_09200018	TRUE	milisiemens per centimeter	http://purl.obolibrary.org/obo/PMO_00000130			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
PP C	primary productivity carbon	http://purl.obolibrary.org/obo/PMO_00000108	TRUE	miligram per cubic meter per day	http://purl.obolibrary.org/obo/PMO_00000128			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
OXYGEN	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
PON	particulate organic nitrogen	http://purl.obolibrary.org/obo/PMO_00000112	TRUE	microgram per liter	http://purl.obolibrary.org/obo/UO_0000301			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Plank meso/macro	mesoplankton and macroplankton aggregate	http://purl.obolibrary.org/obo/PMO_00000114	TRUE	unit per cubic meter	http://purl.obolibrary.org/obo/PMO_00000129			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Bact prod C	prokaryote derived carbon	http://purl.obolibrary.org/obo/PMO_00000116	TRUE	miligram per cubic meter per day	http://purl.obolibrary.org/obo/PMO_00000128			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
DON	dissolved organic nitrogen	http://purl.obolibrary.org/obo/PMO_00000111	TRUE	milligram per liter	http://purl.obolibrary.org/obo/UO_0000273			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
[NH4]+	concentration of ammonium in water	http://purl.obolibrary.org/obo/ENVO_3100004	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Si(OH)4	concentration of silicic acid in water	http://purl.obolibrary.org/obo/ENVO_3100034	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Turbidity	turbidity of water	http://purl.obolibrary.org/obo/PMO_00000121	TRUE	formazin turbidity unit	http://purl.obolibrary.org/obo/PMO_00000131			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Fluorometer	fluorescence of water	http://purl.obolibrary.org/obo/ENVO_3100032	TRUE	volt	http://purl.obolibrary.org/obo/UO_0000218			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Chl a	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008	TRUE	miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
