sampling_event_ID	BioSample	sample_ID	cruise	cast	depth	bottleNumber	bottleID	datetime	date	time	press	theta	sigma	temp	csal	coxy	bsal	boxy	dic	ph	alk	phos	nit	sil	doc	pc	pn	pp	lln	llp	chl	phaeo	chlplus	perid	but19	fuco	hex19	prasino	diadino	zeaxan	chlb	hplc	acar	bcar	caroten	chlda	viol	lutein	mvchla	dvchla	hbact	pbact	sbact	ebact	atp	psi	l12	DCM position
HOT_234_20110830T155100_21	SAMN05991707	HOT234-0025m	HOT234	1	25	12	2340200112	2011-08-30T16:24:16Z	83011	162416	25.4	25.8105	23.281	25.8161	35.2494	208.1	35.2808	207.7	1989.7	8.088	2317	0.02	0.04	0.89	NA	2.81	0.414	15.8	2.2	19.5	0.11	0.05	6	1	3	3	13	0	7	82	12	92	7	5	13	4	1	0	28	64	521600	205200	1000	600	31.03	33.75	19.09	above DCM
HOT_234_20110830T155100_21	SAMN05991708	HOT234-0075m	HOT234	1	75	2	2340200102	2011-08-30T16:17:40Z	83011	161740	73.9	23.7103	23.986	23.7258	35.3415	224.4	35.3441	221.4	2015.9	8.053	2325	0.03	0.04	1.13	NA	1.827416174	0.309769231	11.3	1.6	24.4	0.24	0.23	26	2	13	5	44	0	6	66	63	234	23	4	27	4	1	0	21	213	409500	201600	1300	600	32.95505285	48.24300254	9.694	above DCM
HOT_234_20110830T211100_23	SAMN05991709	HOT234-0125m	HOT234	3	125	13	2340200313	2011-08-30T22:22:22Z	83011	222222	124.9	20.9043	24.698	20.9282	35.234	198.7	35.1951	204.3	2046.197614	7.987683297	2314.618221	0.1	0.45	1.47	NA	0.98	0.168	4.4	436.9	99.6	0.08	0.23	19	1	23	3	26	0	2	11	85	104	16	0	16	0	0	0	37	67	268900	30800	0	700	17.13	22.84	0.97	below DCM
HOT_234_20110830T211100_23	SAMN05991710	HOT234-0200m	HOT234	3	200	8	2340200308	2011-08-30T22:19:03Z	83011	221903	199.8	17.304	25.281	17.3374	34.7909	191.9293578	34.8377	199.3	2053.8	7.931	2284	0.29	3.53	3.47	NA	0.61	0.088	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.729219331	NA	NA	below DCM
HOT_234_20110831T180800_210	SAMN05991711	HOT234-0500m	HOT234	10	500	8	2340201008	2011-08-31T18:54:48Z	83111	185448	499.5	7.2575	26.626	7.3057	34.0395	120.3	34.0403	121.6	2205.8	7.527	2278	2.04	28.75	45.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_234_20110831T180800_210	SAMN05991712	HOT234-0770m	HOT234	10	770	2	2340201002	2011-08-31T18:47:08Z	83111	184708	769.4	4.7214	27.155	4.7827	34.3044	26.2	34.2519	24.9	2328	7.322	2337	2.97	41.4	99.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_234_20110830T211100_23	SAMN05991713	HOT234-1000m	HOT234	3	1000	2	2340200302	2011-08-30T21:49:19Z	83011	214919	1019.3	3.796	27.403	3.8723	34.4926	48.4	34.493	48.1	2338.6	7.383	2369	2.98	41.22	111.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_236_20111104T103200_21	SAMN05991714	HOT236-0025m	HOT236	1	25	11	2360200111	2011-11-04T11:04:10Z	110411	110410	25.2	25.8262	23.25	25.8318	35.215	205.1	35.2408	204.2	1988.9	8.085	2311	0.04	0.02	0.96	NA	2.35	0.358	14.2	1.8	49.8	0.16	0.03	11	1	4	4	16	0	4	53	12	98	8	3	12	4	0	0	26	72	515800	240900	1700	1000	42.72	17.04	14.246	above DCM
HOT_236_20111104T103200_21	SAMN05991715	HOT236-0075m	HOT236	1	75	1	2360200101	2011-11-04T10:59:00Z	110411	105900	78.3	24.5653	23.694	24.5821	35.2921	212.2	35.2846	210.8977273	2006.98712	8.058900145	2320	0.027945946	0.046027027	1.037810811	NA	2.09	0.351	16.33112245	36	39.66	0.3	0.28	28	2	17	6	43	0	6	61	59	254	26	4	29	4	0	0	21	233	476146.7456	171660.6509	1038.1657	2219.5266	39.61742574	21.16489552	10.82034911	above DCM
HOT_236_20111105T205400_211	SAMN05991716	HOT236-0125m	HOT236	11	125	9	2360201109	2011-11-05T21:41:55Z	110511	214155	126.4	21.3192	24.6	21.3437	35.2542	198.9	35.2777	200.6	2040.835938	7.99609375	2315.89375	0.13	0.83	1.6	NA	1.08	0.182	7.568810289	767.4	117.2	0.1	0.16	17	0	18	2	17	0	2	7	51	70	9	0	9	0	0	0	29	41	318600	23700	0	700	11.28444444	15.67	0.346	below DCM
HOT_236_20111105T205400_211	SAMN05991717	HOT236-0200m	HOT236	11	200	3	2360201103	2011-11-05T21:38:20Z	110511	213820	199.9	16.9593	25.33	16.9922	34.748	201.6	34.7335	200.7	2054.246207	7.90991522	2282.786207	0.25	3.29	3.5	NA	1.11	0.183	6.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.916848635	NA	NA	below DCM
HOT_236_20111105T150000_29	SAMN05991718	HOT236-0500m	HOT236	9	500	19	2360200919	2011-11-05T15:47:52Z	110511	154752	500.3	7.3479	26.619	7.3966	34.0461	108.2	34.0423	106.7	2211.16195	7.513032505	2280.780115	2.15	29.52	45.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_236_20111105T150000_29	SAMN05991719	HOT236-0770m	HOT236	9	770	12	2360200912	2011-11-05T15:37:03Z	110511	153703	766.9	4.493	27.173	4.5527	34.295	26.4	34.2901	25.2	2331.4	7.328	2347	3	41.05	96.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_236_20111105T150000_29	SAMN05991720	HOT236-1000m	HOT236	9	1000	7	2360200907	2011-11-05T15:30:15Z	110511	153015	1018.6	3.645	27.42	3.72	34.4938	46.4	34.4938	48	2340.8	7.387	2371	2.97	40.95	113.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_237_20111128T223600_21	SAMN05991721	HOT237-0025m	HOT237	1	25	11	2370200111	2011-11-28T23:55:55Z	112811	235555	24.9	24.7844	23.588	24.7897	35.2404	205.3	35.2461	205.4	1995.4	8.079	2317	0.06	0.03	0.99	NA	1.87	0.338	16.1	5	55.7	0.27	0.14	24	1	21	6	35	0	7	59	35	219	18	4	23	2	0	0	44	175	489200	154600	3300	1700	38.11	16.6	20.346	above DCM
HOT_237_20111128T223600_21	SAMN05991722	HOT237-0075m	HOT237	1	75	1	2370200101	2011-11-28T23:50:13Z	112811	235013	75	24.7869	23.585	24.8031	35.2372	205.1	35.2503	205.4	1997.3	8.079	2317	0.05	0.02	0.95	NA	1.92	0.354	16.4	3.7	55.7	0.23	0.15	19	1	16	4	25	0	6	41	25	150	12	3	15	4	0	0	34	117	525800	155300	3100	1800	37.88	14.57	3.726	above DCM
HOT_237_20111129T222300_29	SAMN05991723	HOT237-0125m	HOT237	9	125	8	2370200908	2011-11-29T23:19:05Z	112911	231905	125.3	22.0803	24.415	22.1052	35.2889	205.5	35.3035	206.1	2035.251887	8.01875891	2331.629979	0.08	0.45	1.22	NA	0.93	0.184	9.754822335	672.1333333	106.1896	0.07	0.19	17	0	18	2	19	0	2	9	61	78	11	1	11	0	0	0	29	49	274267.036	15996.6759	0	458.7258	13.85265306	11.15083845	NA	below DCM
HOT_237_20111129T222300_29	SAMN05991724	HOT237-0200m	HOT237	9	200	3	2370200903	2011-11-29T23:15:58Z	112911	231558	200	16.8882	25.321	16.9211	34.7144	198.3	34.771	197.9	2060.519623	7.910362264	2283.939623	0.3	3.52	3.45	NA	0.59	0.096	4.030337079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.354380952	NA	NA	below DCM
HOT_237_20111129T171400_27	SAMN05991725	HOT237-0500m	HOT237	7	500	19	2370200719	2011-11-29T18:11:17Z	112911	181117	500.9	7.1989	26.639	7.247	34.0446	122.5	34.0472	120	2221.1	7.495	2280	2.01	28.57	43.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_237_20111129T171400_27	SAMN05991726	HOT237-0770m	HOT237	7	770	13	2370200713	2011-11-29T18:03:27Z	112911	180327	769.4	4.4758	27.18	4.5356	34.3012	26.8	34.287	27.1	2328.9	7.333	2333	3.02	41.32	97.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_237_20111129T171400_27	SAMN05991727	HOT237-1000m	HOT237	7	1000	8	2370200708	2011-11-29T17:57:40Z	112911	175740	1021.7	3.6418	27.417	3.717	34.4899	46	34.4899	45.9	2339.3	7.392	2367	3.05	40.98	111.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_238_20111219T104500_21	SAMN05991728	HOT238-0025m	HOT238	1	25	20	2380200120	2011-12-19T11:27:41Z	121911	112741	25.4	24.1966	23.798	24.202	35.2839	208.6	35.2794	208	2005.5	8.071	2320	0.07	0.02	0.99	NA	2.25	0.342	15.1	NA	62.5	0.19	0.13	17	1	10	4	25	0	5	59	30	144	13	3	16	3	0	0	24	121	491700	214300	5000	1700	20.19	10.27	NA	above DCM
HOT_238_20111219T104500_21	SAMN05991729	HOT238-0075m	HOT238	1	75	10	2380200110	2011-12-19T11:21:17Z	121911	112117	74.3	24.1622	23.808	24.1779	35.2831	208.2	35.2798	208.7	2006.2	8.069	2323	0.07	0.02	1.01	NA	2.24	0.34	13.9	10.4	63.5	0.15	0.12	18	1	11	4	25	0	6	62	43	147	13	3	17	5	1	0	23	124	488400	166400	4100	1100	28.34	8.6	NA	above DCM
HOT_238_20111220T194500_211	SAMN05991730	HOT238-0125m	HOT238	11	125	16	2380201116	2011-12-20T20:49:19Z	122011	204919	124.3	21.8138	24.491	21.8383	35.2914	203.7	35.2911	203.9	2040.4	8.00534878	2317.507317	0.09	0.62	1.41	NA	1.241855841	0.207178956	6.669362364	539.4	110.4435484	0.06	0.11	10	0	15	1	15	0	2	7	48	60	7	1	7	0	0	0	26	33	281833.3333	8233.3333	11.1111	311.1111	9.988654005	50.73	NA	below DCM
HOT_238_20111220T194500_211	SAMN05991731	HOT238-0200m	HOT238	11	200	11	2380201111	2011-12-20T20:46:35Z	122011	204635	199.8	18.8611	25.041	18.8966	34.9803	193	34.9764	193.5	2056.412857	7.949985714	2293.885714	0.23	2.32	2.54	NA	0.704159072	0.116043911	3.872413793	NA	218.8	0.02	0.03	1	0	3	0	4	0	0	1	14	12	1	0	1	0	0	0	8	4	NA	NA	NA	NA	5.324327002	NA	NA	below DCM
HOT_238_20111220T134400_29	SAMN05991732	HOT238-0500m	HOT238	9	500	13	2380200913	2011-12-20T14:34:17Z	122011	143417	499.3	7.1318	26.656	7.1795	34.0545	112.1	34.0558	109.8	2218.121006	7.504005917	2279.66568	2.11	29.17	46.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_238_20111220T134400_29	SAMN05991733	HOT238-0770m	HOT238	9	770	7	2380200907	2011-12-20T14:27:56Z	122011	142756	769.4	4.4444	27.164	4.504	34.2765	26.5	34.2681	25.1	2330	7.322	2335	2.99	41.55	100.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_238_20111220T134400_29	SAMN05991734	HOT238-1000m	HOT238	9	1000	2	2380200902	2011-12-20T14:21:47Z	122011	142147	1019.6	3.6996	27.405	3.7751	34.4824	42.3	34.4836	45.5	2342.1	7.382	2363	2.97	41.02	113.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
