SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_N000002101	TARA_20120212Z	TARA_147	TARA_20120218T1422Z_147_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.386692	0.621574	0.056925	0.299405	0.513443	0.483964	NA	NA	NA	NA	NA	NA	NA
TARA_N000003246	TARA_20120212Z	TARA_146	TARA_20120215T1608Z_146_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.517071	0.767132	0.210312	0.482126	0.400956	0.514298	4362.191251	4197.948526	6.547036832	2966.57	7.151089071	15916.6	0.739121793
TARA_N000003240	TARA_20120212Z	TARA_146	TARA_20120215T1515Z_146_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.517071	0.767132	0.210312	0.482126	0.400956	0.514298	4362.191251	4197.948526	6.547036832	2966.57	7.151089071	15916.6	0.739121793
TARA_N000003223	TARA_20120126Z	TARA_145	TARA_20120202T1544Z_145_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.613434	1.10142	0.801279	1.344972	0.468141	0.688783	4571.093166	4397.955065	6.760536259	3373.16	7.159357873	14527.4	0.747027979
TARA_N000003231	TARA_20120126Z	TARA_145	TARA_20120202T1348Z_145_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.613434	1.10142	0.801279	1.344972	0.468141	0.688783	4571.093166	4397.955065	6.760536259	3373.16	7.159357873	14527.4	0.747027979
TARA_N000003215	TARA_20120126Z	TARA_145	TARA_20120202T1152Z_145_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.613434	1.10142	0.801279	1.344972	0.468141	0.688783	4571.093166	4397.955065	6.760536259	3373.16	7.159357873	14527.4	0.747027979
TARA_N000003191	TARA_20120126Z	TARA_144	TARA_20120130T0239Z_144_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.519031	0.890258	0.25863	0.611888	0.483032	0.758571	NA	NA	NA	NA	NA	NA	NA
TARA_N000003175	TARA_20120126Z	TARA_144	TARA_20120129T2001Z_144_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.519031	0.890258	0.25863	0.611888	0.483032	0.758571	NA	NA	NA	NA	NA	NA	NA
TARA_N000003148	TARA_20111230Z	TARA_143	TARA_20120116T2052Z_143_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.892436	1.21687	0.957574	1.284604	0.782382	0.874273	NA	NA	NA	NA	NA	NA	NA
TARA_N000003146	TARA_20111230Z	TARA_143	TARA_20120116T2024Z_143_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.892436	1.21687	0.957574	1.284604	0.782382	0.874273	NA	NA	NA	NA	NA	NA	NA
TARA_N000003156	TARA_20111230Z	TARA_143	TARA_20120116T1944Z_143_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.892436	1.21687	0.957574	1.284604	0.782382	0.874273	NA	NA	NA	NA	NA	NA	NA
TARA_N000003153	TARA_20111230Z	TARA_143	TARA_20120116T1922Z_143_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.892436	1.21687	0.957574	1.284604	0.782382	0.874273	NA	NA	NA	NA	NA	NA	NA
TARA_N000003141	TARA_20111230Z	TARA_143	TARA_20120116T1425Z_143_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.892436	1.21687	0.957574	1.284604	0.782382	0.874273	NA	NA	NA	NA	NA	NA	NA
TARA_N000003098	TARA_20111230Z	TARA_142	TARA_20120109T1852Z_142_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.644225	1.049956	0.61765	1.015801	0.63755	0.691085	4745.138573	4635.588721	6.796594791	3131.49	7.201240418	18707.1	0.732082066
TARA_N000003089	TARA_20111230Z	TARA_142	TARA_20120109T1504Z_142_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.644225	1.049956	0.61765	1.015801	0.63755	0.691085	4605.451141	4423.950979	6.726868494	2941.99	7.189333984	17733.7	0.734863726
TARA_N000003081	TARA_20111230Z	TARA_142	TARA_20120109T1341Z_142_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.644225	1.049956	0.61765	1.015801	0.63755	0.691085	4605.451141	4423.950979	6.726868494	2941.99	7.189333984	17733.7	0.734863726
TARA_N000003043	TARA_20111124Z	TARA_139	TARA_20111215T2007Z_139_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.657741	0.92998	0.528339	0.637302	0.382552	0.405685	NA	NA	NA	NA	NA	NA	NA
TARA_N000003039	TARA_20111124Z	TARA_139	TARA_20111215T1525Z_139_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.657741	0.92998	0.528339	0.637302	0.382552	0.405685	NA	NA	NA	NA	NA	NA	NA
TARA_N000003035	TARA_20111124Z	TARA_139	TARA_20111215T1416Z_139_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.657741	0.92998	0.528339	0.637302	0.382552	0.405685	NA	NA	NA	NA	NA	NA	NA
TARA_N000003013	TARA_20111124Z	TARA_138	TARA_20111211T1627Z_138_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4312.041092	4146.2201	6.63935405	2984.4	7.123800616	16960.1	0.731500451
TARA_N000003005	TARA_20111124Z	TARA_138	TARA_20111210T1625Z_138_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4305.503877	4212.183684	6.507542471	2660.5	7.118264624	17717.1	0.727668896
TARA_N000003007	TARA_20111124Z	TARA_138	TARA_20111210T1506Z_138_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4305.503877	4212.183684	6.507542471	2660.5	7.118264624	17717.1	0.727668896
TARA_N000002938	TARA_20111124Z	TARA_137	TARA_20111202T2302Z_137_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	4996.589383	4955.630244	6.084460282	3055.24	7.211098725	17574.3	0.737769447
TARA_N000002940	TARA_20111124Z	TARA_137	TARA_20111202T2237Z_137_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	4996.589383	4955.630244	6.084460282	3055.24	7.211098725	17574.3	0.737769447
TARA_N000002934	TARA_20111124Z	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	4996.589383	4955.630244	6.084460282	3055.24	7.211098725	17574.3	0.737769447
TARA_N000002927	TARA_20111124Z	TARA_137	TARA_20111202T1723Z_137_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	3364.714903	3220.291415	6.607743957	2329.97	7.132607743	13938.9	0.747462387
TARA_N000002929	TARA_20111124Z	TARA_137	TARA_20111202T1636Z_137_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	3364.714903	3220.291415	6.607743957	2329.97	7.132607743	13938.9	0.747462387
TARA_N000002923	TARA_20111124Z	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	3364.714903	3220.291415	6.607743957	2329.97	7.132607743	13938.9	0.747462387
TARA_N000002963	TARA_20111124Z	TARA_136	TARA_20111130T2240Z_136_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.782584	1.129931	0.647187	1.015829	0.69165	0.595667	NA	NA	NA	NA	NA	NA	NA
TARA_N000002965	TARA_20111124Z	TARA_136	TARA_20111130T1915Z_136_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.782584	1.129931	0.647187	1.015829	0.69165	0.595667	NA	NA	NA	NA	NA	NA	NA
TARA_N000002959	TARA_20111124Z	TARA_136	TARA_20111130T1620Z_136_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.782584	1.129931	0.647187	1.015829	0.69165	0.595667	NA	NA	NA	NA	NA	NA	NA
TARA_N000002187	TARA_20110928Z	TARA_135	TARA_20111024T0137Z_135_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.771964	0.990553	0.576971	0.730257	0.664196	0.720057	NA	NA	NA	NA	NA	NA	NA
TARA_N000002195	TARA_20110928Z	TARA_135	TARA_20111024T0034Z_135_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.771964	0.990553	0.576971	0.730257	0.664196	0.720057	NA	NA	NA	NA	NA	NA	NA
TARA_N000002199	TARA_20110928Z	TARA_135	TARA_20111024T0015Z_135_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.771964	0.990553	0.576971	0.730257	0.664196	0.720057	NA	NA	NA	NA	NA	NA	NA
TARA_N000002185	TARA_20110928Z	TARA_135	TARA_20111023T2041Z_135_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.771964	0.990553	0.576971	0.730257	0.664196	0.720057	NA	NA	NA	NA	NA	NA	NA
