SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_R100000908	TARA_20100624Z	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.897426	1.350827	0.839606	1.425647	0.384711	0.890853	NA	NA	NA	NA	NA	NA	NA
TARA_R100000900	TARA_20100624Z	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.897426	1.350827	0.839606	1.425647	0.384711	0.890853	NA	NA	NA	NA	NA	NA	NA
TARA_R100001198	TARA_20100624Z	TARA_065	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.134533	0.639677	0.082274	0.690224	0.385488	0.817359	NA	NA	NA	NA	NA	NA	NA
TARA_R100001230	TARA_20100624Z	TARA_065	TARA_20100712T0559Z_065_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.134533	0.639677	0.082274	0.690224	0.385488	0.817359	NA	NA	NA	NA	NA	NA	NA
TARA_R100000315	TARA_20100624Z	TARA_064	TARA_20100708T0621Z_064_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.31965	0.685618	0.05078	0.542281	0.842944	0.714446	NA	NA	NA	NA	NA	NA	NA
TARA_R100000322	TARA_20100624Z	TARA_064	TARA_20100707T0448Z_064_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.31965	0.685618	0.05078	0.542281	0.842944	0.714446	NA	NA	NA	NA	NA	NA	NA
TARA_R100000234	TARA_20100515Z	TARA_052	TARA_20100517T1142Z_052_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.306166	0.34936	0.093436	0.096603	0.616158	0.555372	NA	NA	NA	NA	NA	NA	NA
TARA_R100000406	TARA_20100410Z	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.280692	0.329145	0.151409	0.175097	0.641694	0.747565	NA	NA	NA	NA	NA	NA	NA
TARA_R100000152	TARA_20100327Z	TARA_042	TARA_20100404T0950Z_042_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.320439	0.387549	0.396767	0.475044	0.625017	0.690085	NA	NA	NA	NA	NA	NA	NA
TARA_R100000149	TARA_20100327Z	TARA_042	TARA_20100404T0247Z_042_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.320439	0.387549	0.396767	0.475044	0.625017	0.690085	NA	NA	NA	NA	NA	NA	NA
TARA_R100000458	TARA_20100327Z	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_R100000455	TARA_20100327Z	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_R100000482	TARA_20100309Z	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_R100000479	TARA_20100309Z	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
