SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_R100000501	SAMEA2620120	ERS488959	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	270	262	280	0.22	TARA_039_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MES_(270m)_SEQ-(FeCl3)_W<0.22_R100000501	"tara_20100320t0817z_039_event_cast,tara_20100318t0956z_039_event_cast"	0.005826-20.854	P00DT00H00M	1	2.074	2.074	2.074	2.074	2.074	2.64	2.64	2.64	2.64	2.64	21.22	21.22	21.22	21.22	21.22	38.62	38.62	38.62	38.62	38.62
TARA_R100000093	SAMEA2620053	ERS488867	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	340	332	350	0.22	TARA_038_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MES_(340m)_SEQ-(FeCl3)_W<0.22_R100000093	"tara_20100316t0859z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast"	1.7801-7.3775	P00DT02H44M	1	0.691	0.691	0.691	0.691	0.691	2.639	2.639	2.639	2.639	2.639	23.43	23.43	23.43	23.43	23.43	38.94	38.94	38.94	38.94	38.94
TARA_R100000049	SAMEA2619992	ERS488791	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	596	605	0.22	TARA_037_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MES_(600m)_SEQ-(FeCl3)_W<0.22_R100000049	"tara_20100312t1036z_036_event_cast,tara_20100312t0620z_036_event_cast"	8.1998-8.8914	P00DT06H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_A100001201	SAMEA2619872	ERS488636	TARA_033	TARA_20100113T0716Z_033_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_033_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100113T0716Z_033_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_A100001201	tara_20100113t1102z_033_event_cast	20.3827	P00DT03H38M	2	0.002	0.002	0.003	0.004	0.004	0.039	0.039	0.04575	0.0525	0.0525	0.0045	0.0045	0.006	0.0075	0.0075	1.0875	1.0875	1.12025	1.153	1.153
TARA_X000001316	SAMEA2619625	ERS488253	TARA_011	TARA_20091004T0830Z_011_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	TARA_011_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091004T0830Z_011_EVENT_PUMP_SRF_(9m)_SEQ-(FeCl3)_W<0.22_X000001316	tara_20090923t1506z_007_event_cast	521.5756	P10DT17H23M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001510	SAMEA2622357	ERS492198	TARA_109	TARA_20110512T2215Z_109_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	28	32	0.22	TARA_109_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110512T2215Z_109_EVENT_PUMP_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R100001510	"tara_20110512t1855z_109_event_cast,tara_20110512t1345z_109_event_cast"	2.1915-4.7915	P00DT03H22M	3	0.0895	0.094875	0.111	0.12525	0.13	0.48625	0.490875	0.50475	0.551625	0.56725	3.7445	3.967875	4.638	5.22975	5.427	2.794	2.90175	3.225	3.552	3.661
TARA_R100001509	SAMEA2622331	ERS492160	TARA_109	TARA_20110512T1400Z_109_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_109_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110512T1400Z_109_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001509	"tara_20110512t1345z_109_event_cast,tara_20110512t1855z_109_event_cast"	0.002618-5.5417	P00DT00H21M	2	0.0455	0.0455	0.0455	0.0455	0.0455	0.2865	0.2865	0.2865	0.2865	0.2865	0.8935	0.8935	0.8935	0.8935	0.8935	1.7085	1.7085	1.7085	1.7085	1.7085
TARA_R100001377	SAMEA2621548	ERS491107	TARA_085	TARA_20110106T1936Z_085_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	90	80	98	0.22	TARA_085_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110106T1936Z_085_Combined-EVENTS_CAST_DCM_(90m)_SEQ-(FeCl3)_W<0.22_R100001377	"tara_20110106t1718z_085_event_cast,tara_20110106t1030z_085_event_cast"	4.8155-26.8588	P00DT02H18M	3	0.06	0.06	0.06	0.0615	0.062	2.281	2.288	2.309	2.32175	2.326	30.44	30.58	31	31.33	31.44	77.13	78.3025	81.82	82.6975	82.99
TARA_R100000544	SAMEA2621448	ERS490953	TARA_082	TARA_20101206T1858Z_082_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_082_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101206T1858Z_082_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000544	"tara_20101206t1639z_082_event_cast,tara_20101206t1026z_082_event_cast"	8.775-26.5207	P00DT02H20M	2	0.102	0.102	0.1185	0.135	0.135	1.296	1.296	1.356	1.416	1.416	17.98	17.98	18.525	19.07	19.07	2.244	2.244	2.661	3.078	3.078
TARA_R100001224	SAMEA2621271	ERS490676	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_078_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001224	"tara_20101104t1024z_078_event_cast,tara_20101104t1708z_078_event_cast"	0.16125-3.5701	P00DT00H00M	2	0	0	0	0	0	0	0	0	0.016	0.016	0.017	0.017	0.026	0.035	0.035	0.481	0.481	0.749	1.017	1.017
TARA_R100001129	SAMEA2621229	ERS490610	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.22	TARA_076_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(FeCl3)_W<0.22_R100001129	"tara_20101016t1415z_076_event_cast,tara_20101016t1009z_076_event_cast"	4.4524-18.7506	P00DT02H44M	2	0.014618	0.014618	0.047654	0.080689	0.080689	0.038438	0.038438	0.051522	0.064606	0.064606	0	0	0	0	0	0.712116	0.712116	0.712116	0.712116	0.712116
TARA_R100001126	SAMEA2621213	ERS490557	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_076_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001126	"tara_20101016t1009z_076_event_cast,tara_20101016t1415z_076_event_cast"	1.7268-16.2729	P00DT00H12M	1	0.001404	0.001404	0.001404	0.001404	0.001404	0.055883	0.055883	0.055883	0.055883	0.055883	0	0	0	0	0	0.814172	0.814172	0.814172	0.814172	0.814172
TARA_R100001086	SAMEA2621191	ERS490522	TARA_072	TARA_20101006T0759Z_072_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.22	TARA_072_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101006T0759Z_072_Combined-EVENTS_CAST_MES_(800m)_SEQ-(FeCl3)_W<0.22_R100001086	"tara_20101005t1244z_072_event_cast,tara_20101005t0810z_072_event_cast"	2.6747-11.3918	P00DT19H15M	1	0.007	0.007	0.007	0.007	0.007	2.618	2.618	2.618	2.618	2.618	36.98	36.98	36.98	36.98	36.98	34.44	34.44	34.44	34.44	34.44
TARA_R100001082	SAMEA2621173	ERS490494	TARA_072	TARA_20101005T1535Z_072_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	100	98	102	0.22	TARA_072_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101005T1535Z_072_EVENT_PUMP_DCM_(100m)_SEQ-(FeCl3)_W<0.22_R100001082	"tara_20101005t1244z_072_event_cast,tara_20101005t0810z_072_event_cast"	3.7626-7.3764	P00DT02H52M	3	0.001	0.0035	0.011	0.07775	0.1	0.097	0.1085	0.143	0.25475	0.292	0.018	0.0245	0.044	0.83825	1.103	0.955	1.03725	1.284	1.31025	1.319
TARA_R100001079	SAMEA2621151	ERS490452	TARA_072	TARA_20101005T0800Z_072_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_072_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101005T0800Z_072_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001079	"tara_20101005t0810z_072_event_cast,tara_20101005t1244z_072_event_cast"	0.4196-9.092	P00DT00H10M	1	0.003	0.003	0.003	0.003	0.003	0.104	0.104	0.104	0.104	0.104	0.018	0.018	0.018	0.018	0.018	0.868	0.868	0.868	0.868	0.868
TARA_R100001039	SAMEA2621107	ERS490388	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	785	812	0.22	TARA_070_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MES_(800m)_SEQ-(FeCl3)_W<0.22_R100001039	"tara_20100921t1158z_070_event_cast,tara_20100921t0707z_070_event_cast,tara_20100922t1033z_070_event_cast"	1.2796-4.7985	P00DT00H00M	1	0.01	0.01	0.01	0.01	0.01	2.522	2.522	2.522	2.522	2.522	36.73	36.73	36.73	36.73	36.73	44.86	44.86	44.86	44.86	44.86
TARA_R100001015	SAMEA2621085	ERS490346	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_070_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100921T0655Z_070_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001015	"tara_20100921t0707z_070_event_cast,tara_20100921t1158z_070_event_cast,tara_20100922t1033z_070_event_cast"	0.23967-3.8926	P00DT00H10M	2	0.039	0.039	0.0465	0.054	0.054	0.254	0.254	0.309	0.364	0.364	0.617	0.617	0.8015	0.986	0.986	0.935	0.935	1.1485	1.362	1.362
TARA_R100000995	SAMEA2621061	ERS490320	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	TARA_068_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100914T1330Z_068_EVENT_PUMP_DCM_(50m)_SEQ-(FeCl3)_W<0.22_R100000995	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast,tara_20100913t1303z_068_event_cast"	1.3691-4.2337	P00DT18H33M	1	0.285	0.285	0.285	0.285	0.285	0.227	0.227	0.227	0.227	0.227	1.08	1.08	1.08	1.08	1.08	2.436	2.436	2.436	2.436	2.436
TARA_R100000988	SAMEA2621033	ERS490285	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_068_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100914T0655Z_068_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000988	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast,tara_20100913t1303z_068_event_cast"	0.82714-3.9058	P00DT11H58M	2	0.152	0.152	0.201	0.25	0.25	0.062	0.062	0.1455	0.229	0.229	0.575	0.575	0.939	1.303	1.303	1.372	1.372	1.9865	2.601	2.601
TARA_R100000951	SAMEA2620991	ERS490204	TARA_067	TARA_20100907T0619Z_067_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_067_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000951	tara_20100907t0958z_067_event_cast	12.5038	P00DT03H36M	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000908	SAMEA2620967	ERS490180	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	0.22	TARA_066_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R100000908	"tara_20100715t1939z_066_event_cast,tara_20100715t1230z_066_event_cast"	2.394-11.2044	P00DT03H09M	3	0.28275	0.28275	0.284	0.28525	0.28525	0.33175	0.33175	0.34975	0.36775	0.36775	3.30275	3.30275	3.309875	3.317	3.317	2.5845	2.5845	2.5895	2.5945	2.5945
TARA_R100000900	SAMEA2620947	ERS490142	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_066_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000900	"tara_20100715t1230z_066_event_cast,tara_20100715t1939z_066_event_cast"	1.8748-15.4572	P00DT00H04M	1	0.3025	0.3025	0.3025	0.3025	0.3025	0.343	0.343	0.343	0.343	0.343	3.34	3.34	3.34	3.34	3.34	2.7435	2.7435	2.7435	2.7435	2.7435
TARA_R100001198	SAMEA2620925	ERS490120	TARA_065	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	28	32	0.22	TARA_065_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R100001198	tara_20100715t1939z_066_event_cast	750.029	P03DT08H33M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001230	SAMEA2620879	ERS490053	TARA_065	TARA_20100712T0559Z_065_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_065_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100712T0559Z_065_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001230	tara_20100715t1939z_066_event_cast	748.339	P03DT13H37M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000315	SAMEA2620852	ERS490026	TARA_064	TARA_20100708T0621Z_064_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	65	63	67	0.22	TARA_064_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100708T0621Z_064_EVENT_PUMP_DCM_(65m)_SEQ-(FeCl3)_W<0.22_R100000315	"tara_20100707t0919z_064_event_cast,tara_20100707t0455z_064_event_cast"	5.6548-8.3572	P00DT21H06M	2	0.002	0.002	0.00875	0.0155	0.0155	0.0815	0.0815	0.08325	0.085	0.085	NA	NA	NA	NA	NA	1.7255	1.7255	1.7355	1.7455	1.7455
TARA_R100000322	SAMEA2620812	ERS489943	TARA_064	TARA_20100707T0448Z_064_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_064_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100707T0448Z_064_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000322	"tara_20100707t0455z_064_event_cast,tara_20100707t0919z_064_event_cast"	0.14927-3.7314	P00DT00H08M	1	0.004	0.004	0.004	0.004	0.004	0.084	0.084	0.084	0.084	0.084	0	0	0	0	0	1.7665	1.7665	1.7665	1.7665	1.7665
TARA_R100000234	SAMEA2620588	ERS489603	TARA_052	TARA_20100517T1142Z_052_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	75	73	77	0.22	TARA_052_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100517T1142Z_052_EVENT_PUMP_DCM_(75m)_SEQ-(FeCl3)_W<0.22_R100000234	"tara_20100517t0945z_052_event_cast,tara_20100517t0410z_052_event_cast"	2.6965-5.0137	P00DT02H01M	2	0.029	0.029	0.032	0.035	0.035	0.155	0.155	0.159	0.163	0.163	0.453	0.453	0.4675	0.482	0.482	2.728	2.728	2.824	2.92	2.92
TARA_R100000406	SAMEA2620384	ERS489285	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_046_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000406	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	2	0.004	0.004	0.0045	0.005	0.005	0.099	0.099	0.102	0.105	0.105	0.045	0.045	0.047	0.049	0.049	1.935	1.935	1.947	1.959	1.959
TARA_R100000152	SAMEA2620273	ERS489148	TARA_042	TARA_20100404T0950Z_042_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	0.22	TARA_042_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100404T0950Z_042_EVENT_PUMP_DCM_(80m)_SEQ-(FeCl3)_W<0.22_R100000152	"tara_20100404t0908z_042_event_cast,tara_20100404t0316z_042_event_cast"	0.57296-3.7685	P00DT00H44M	2	0.152	0.152	0.152	0.152	0.152	0.159	0.159	0.2505	0.342	0.342	0.097	0.097	0.741	1.385	1.385	2.268	2.268	2.7335	3.199	3.199
TARA_R100000149	SAMEA2620256	ERS489113	TARA_042	TARA_20100404T0247Z_042_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_042_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100404T0247Z_042_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000149	"tara_20100404t0316z_042_event_cast,tara_20100404t0908z_042_event_cast"	0.66652-3.4739	P00DT00H26M	2	0	0	0.001	0.002	0.002	0.069	0.069	0.0765	0.084	0.084	0.018	0.018	0.022	0.026	0.026	2.137	2.137	2.171	2.205	2.205
TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	"tara_20100330t0848z_041_event_cast,tara_20100330t0257z_041_event_cast"	0.72154-5.768	P00DT02H09M	2	0.067	0.067	0.2375	0.408	0.408	0.344	0.344	0.846	1.348	1.348	0.494	0.494	7.847	15.2	15.2	1.379	1.379	3.5765	5.774	5.774
TARA_R100000455	SAMEA2620210	ERS489059	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_041_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000455	"tara_20100330t0257z_041_event_cast,tara_20100330t0848z_041_event_cast"	1.2227-6.2798	P00DT00H09M	2	0.003	0.003	0.007	0.011	0.011	0.144	0.144	0.1565	0.169	0.169	0.026	0.026	0.057	0.088	0.088	1.305	1.305	1.3865	1.468	1.468
TARA_R100000482	SAMEA2620094	ERS488929	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	TARA_039_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100318T1133Z_039_EVENT_PUMP_DCM_(25m)_SEQ-(FeCl3)_W<0.22_R100000482	"tara_20100318t0956z_039_event_cast,tara_20100318t0441z_039_event_cast,tara_20100320t0817z_039_event_cast"	2.0758-18.8401	P00DT01H40M	2	0.005	0.005	0.011	0.017	0.017	0.231	0.231	0.2465	0.262	0.262	0.042	0.042	0.0675	0.093	0.093	1.208	1.208	1.2415	1.275	1.275
TARA_R100000479	SAMEA2620078	ERS488892	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_039_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000479	"tara_20100318t0441z_039_event_cast,tara_20100318t0956z_039_event_cast"	9.9009-14.5118	P00DT00H14M	2	0.005	0.005	0.0065	0.008	0.008	0.233	0.233	0.2335	0.234	0.234	0.034	0.034	0.0425	0.051	0.051	1.435	1.435	1.515	1.595	1.595
TARA_R100000084	SAMEA2620027	ERS488836	TARA_038	TARA_20100315T1118Z_038_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	TARA_038_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100315T1118Z_038_EVENT_PUMP_DCM_(25m)_SEQ-(FeCl3)_W<0.22_R100000084	"tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast,tara_20100316t0859z_038_event_cast"	2.291-11.5661	P00DT01H45M	1	0.7	0.7	0.7	0.7	0.7	0.417	0.417	0.417	0.417	0.417	1.858	1.858	1.858	1.858	1.858	1.625	1.625	1.625	1.625	1.625
TARA_R100000081	SAMEA2620014	ERS488813	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_038_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100315T0335Z_038_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000081	"tara_20100315t0345z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100316t0859z_038_event_cast"	0.2594-13.8812	P00DT00H09M	2	0.014	0.014	0.107	0.2	0.2	0.319	0.319	0.337	0.355	0.355	0.059	0.059	0.4195	0.78	0.78	1.178	1.178	1.278	1.378	1.378
TARA_R100000030	SAMEA2619962	ERS488757	TARA_036	TARA_20100312T1223Z_036_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	17	15	19	0.22	TARA_036_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100312T1223Z_036_EVENT_PUMP_DCM_(17m)_SEQ-(FeCl3)_W<0.22_R100000030	"tara_20100312t1036z_036_event_cast,tara_20100312t0620z_036_event_cast"	0.53112-0.99588	P00DT01H48M	2	0.046	0.046	0.277	0.508	0.508	0.348	0.348	0.431	0.514	0.514	0.152	0.152	1.115	2.078	2.078	1.087	1.087	1.4395	1.792	1.792
TARA_R100000028	SAMEA2619950	ERS488737	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_036_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100312T0606Z_036_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000028	"tara_20100312t0620z_036_event_cast,tara_20100312t1036z_036_event_cast"	0.006379-0.77483	P00DT00H13M	2	0.045	0.045	0.0455	0.046	0.046	0.348	0.348	0.3575	0.367	0.367	0.131	0.131	0.1415	0.152	0.152	1.087	1.087	1.143	1.199	1.199
TARA_R100000008	SAMEA2619923	ERS488701	TARA_034	TARA_20100120T1150Z_034_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.22	TARA_034_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100120T1150Z_034_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000008	tara_20100120t0747z_034_event_cast	4.8473	P00DT04H05M	1	0.269	0.269	0.269	0.269	0.269	0.0885	0.0885	0.0885	0.0885	0.0885	0.635	0.635	0.635	0.635	0.635	1.3525	1.3525	1.3525	1.3525	1.3525
TARA_R100000005	SAMEA2619903	ERS488673	TARA_034	TARA_20100120T0427Z_034_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_034_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100120T0427Z_034_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000005	tara_20100120t0747z_034_event_cast	1.4175	P00DT03H17M	2	0.0055	0.0055	0.011	0.0165	0.0165	0.103	0.103	0.144	0.185	0.185	0.029	0.029	0.029	0.029	0.029	1.372	1.372	2.6405	3.909	3.909
TARA_A100001518	SAMEA2619854	ERS488613	TARA_032	TARA_20100111T1417Z_032_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	0.22	TARA_032_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100111T1417Z_032_EVENT_PUMP_DCM_(80m)_SEQ-(FeCl3)_W<0.22_A100001518	tara_20100111t0943z_032_event_cast	4.7733	P00DT04H36M	1	0.01	0.01	0.01	0.01	0.01	0.025	0.025	0.025	0.025	0.025	NA	NA	NA	NA	NA	0.85	0.85	0.85	0.85	0.85
TARA_A100001516	SAMEA2619838	ERS488589	TARA_032	TARA_20100111T0721Z_032_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_032_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100111T0721Z_032_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_A100001516	tara_20100111t0943z_032_event_cast	3.0062	P00DT02H19M	2	0.0075	0.0075	0.01075	0.014	0.014	0	0	0.00875	0.0175	0.0175	0	0	0	0	0	0.87	0.87	0.8775	0.885	0.885
