sampling_event_ID	ISO_datetime_deployed	cruise_number	cast_number	Conductivity	Depth	Dissolved_Oxygen	Fluorescence	Latitude	Longitude	Pressure	Salinity	Temperature	cast_ID	decimal_year	filename	Decimal_date_deployed	Decimal_date_recovered	Decimal_day_deployed	Latitude_CTD_deployed	Latitude_CTD_recovered	Longitude_CTD_deployed	Longitude_CTD_recovered	info_filename	ISO_datetime_recovered	cruise_type	cruise_type_text
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9013	123.1	220.73	0.125	31.7	-64.139	124	36.603	19.136	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9011	125.1	220.21	0.126	31.7	-64.139	126	36.603	19.134	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9045	127.1	217.79	0.127	31.7	-64.139	128	36.614	19.153	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9065	129.1	215.62	0.143	31.7	-64.139	130	36.621	19.163	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9066	131	214.71	0.117	31.7	-64.139	132	36.623	19.161	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9052	133	214.87	0.108	31.7	-64.139	134	36.621	19.148	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9026	135	215.77	0.102	31.7	-64.139	136	36.618	19.126	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8988	137	217.05	0.095	31.7	-64.139	138	36.613	19.095	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.896	139	217.97	0.09	31.7	-64.139	140	36.608	19.073	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8943	141	217.86	0.092	31.7	-64.139	142	36.607	19.057	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8929	143	217.73	0.091	31.7	-64.139	144	36.606	19.044	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8909	144.9	217.43	0.084	31.7	-64.139	146	36.606	19.024	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.89	146.9	217.33	0.082	31.7	-64.139	148	36.606	19.015	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8897	148.9	217.18	0.08	31.7	-64.139	150	36.606	19.011	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8893	150.9	216.64	0.068	31.7	-64.139	152	36.605	19.008	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8872	152.9	217.14	0.065	31.7	-64.139	154	36.602	18.991	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8847	154.9	217.85	0.06	31.7	-64.139	156	36.597	18.971	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8794	156.8	219.19	0.055	31.7	-64.139	158	36.587	18.931	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8795	158.8	218.85	0.054	31.7	-64.139	160	36.589	18.93	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8799	160.8	218.51	0.054	31.7	-64.139	162	36.59	18.931	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.8796	162.8	218.34	0.055	31.7	-64.139	164	36.59	18.927	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
