sampling_event_ID	cruise_number	cast_number	Id	cruise_type	niskin_number	decy	lat	lon	Depth	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	Chl	Phae	p18	p19	p20	p21	filename	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	NO21	PO41
BATS_184_4_2004-01-27_16:56:00	184	4	2018400408	2	8	2004.12397	31.176	-64.326	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.741	36.688	NA	26.12	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400410	2	10	2004.12397	31.176	-64.326	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.742	36.688	NA	26.12	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400401	2	1	2004.12397	31.176	-64.326	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.739	36.688	NA	26.12	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400403	2	3	2004.12397	31.176	-64.326	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.74	36.688	NA	26.12	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400412	2	12	2004.12397	31.176	-64.326	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.738	36.689	NA	26.121	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400414	2	14	2004.12397	31.176	-64.326	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.737	36.689	NA	26.121	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400405	2	5	2004.12397	31.176	-64.326	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.739	36.688	NA	26.12	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400417	2	17	2004.12397	31.176	-64.326	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.738	36.688	NA	26.121	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400418	2	18	2004.12397	31.176	-64.326	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.738	36.689	NA	26.121	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400422	2	22	2004.12397	31.176	-64.326	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.736	36.689	NA	26.122	NA	17.4	NA	NA	NA	NA	NA	NA
