Sample_event_ID	Archive_ID	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	NO2_NO3	OXYGEN	PHSPHT	REPLICT	SALNITY	SIGMA	SILCAT	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_13	SAMN07137035	HOT147	33KI147_1	33KI147/1	2	3	PRS2	2003-04-23T20:55:00Z	42303	2003	4	23	2055	-157.9905	22.7565	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot147.sum	6	125.8	234.5	35.1926	20.11				1	35.1943	24.886		20.0867	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_13	SAMN07137036	HOT147	33KI147_1	33KI147/1	2	3	PRS2	2003-04-23T20:55:00Z	42303	2003	4	23	2055	-157.9905	22.7565	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot147.sum	4	177.5	230.2	34.831	17.5723				1	34.8324	25.254		17.5424	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_14	SAMN07137037	HOT148	33KI148_1	33KI148/1	2	3	PRS2	2003-05-20T21:25:00Z	52003	2003	5	20	2125	-158.0027	22.7495	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot148.sum	16	4.4	209.1	35.0743	25.3196				1	35.077	23.3		25.3186	16	2129599	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_14	SAMN07137038	HOT148	33KI148_1	33KI148/1	2	3	PRS2	2003-05-20T21:25:00Z	52003	2003	5	20	2125	-158.0027	22.7495	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot148.sum	7	113	209.8	35.2961	22.7178				1	35.3076	24.246		22.6949	16	2139599	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_14	SAMN07137039	HOT148	33KI148_1	33KI148/1	2	3	PRS2	2003-05-20T21:25:00Z	52003	2003	5	20	2125	-158.0027	22.7495	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot148.sum	4	173.4	201	35.2078	20.4295				1	35.2091	24.815		20.3969	16	2129599	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_15	SAMN07137040	HOT149	33RR149_1	33RR149/1	2	3	PRS2	2003-06-19T21:00:00Z	61903	2003	6	19	2100	-157.9983	22.7748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot149.sum	14	4.8	208.1	35.1644	25.8035				1	35.1637	23.219		25.8025	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_15	SAMN07137041	HOT149	33RR149_1	33RR149/1	2	3	PRS2	2003-06-19T21:00:00Z	61903	2003	6	19	2100	-157.9983	22.7748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot149.sum	8	99.8	209.9	35.2949	22.7149				1	35.2937	24.245		22.6947	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_15	SAMN07137042	HOT149	33RR149_1	33RR149/1	2	3	PRS2	2003-06-19T21:00:00Z	61903	2003	6	19	2100	-157.9983	22.7748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot149.sum	4	175	209.6	35.1881	19.7761				1		24.973		19.744	14	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_16	SAMN07137043	HOT150	33KI150_1	33KI150/1	2	3	PRS2	2003-07-19T21:01:00Z	71903	2003	7	19	2101	-157.9975	22.7512	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot150.sum	14	4.1	207.1	35.3305	26.0052				1	35.3303	23.281		26.0043	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_16	SAMN07137044	HOT150	33KI150_1	33KI150/1	2	3	PRS2	2003-07-19T21:01:00Z	71903	2003	7	19	2101	-157.9975	22.7512	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot150.sum	6	126.3	209.6	35.1879	20.2292				1	35.2079	24.851		20.2056	14	2139999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
