Sample_event_ID	Archive_ID	organism	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	Station_Name	geographic location	bottle_id	sample_name	cruise_expedition	cruise_name	start_collection_date	depth_sample	latitude	longitude	filter_min 
S_E_11	SAMN07137029	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1450200308	S0532	HOT	HOT145	2/25/03	115	22.75	-158	0.2
S_E_11	SAMN07137030	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1450200305	S0533	HOT	HOT145	2/25/03	175	22.75	-158	0.2
S_E_12	SAMN07137031	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1460200314	S0534	HOT	HOT146	3/28/03	5	22.75	-158	0.2
S_E_12	SAMN07137032	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1460200307	S0535	HOT	HOT146	3/28/03	125	22.75	-158	0.2
S_E_12	SAMN07137033	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1460200304	S0536	HOT	HOT146	3/28/03	175	22.75	-158	0.2
S_E_13	SAMN07137034	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1470200314	S0537	HOT	HOT147	4/23/03	5	22.75	-158	0.2
S_E_13	SAMN07137035	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1470200306	S0538	HOT	HOT147	4/23/03	125	22.75	-158	0.2
S_E_13	SAMN07137036	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1470200304	S0539	HOT	HOT147	4/23/03	175	22.75	-158	0.2
S_E_14	SAMN07137037	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1480200316	S0540	HOT	HOT148	5/20/03	5	22.75	-158	0.2
S_E_14	SAMN07137038	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1480200307	S0541	HOT	HOT148	5/20/03	115	22.75	-158	0.2
S_E_14	SAMN07137039	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1480200304	S0542	HOT	HOT148	5/20/03	175	22.75	-158	0.2
S_E_15	SAMN07137040	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1490200314	S0543	HOT	HOT149	6/19/03	5	22.75	-158	0.2
S_E_15	SAMN07137041	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1490200308	S0544	HOT	HOT149	6/19/03	100	22.75	-158	0.2
S_E_15	SAMN07137042	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1490200304	S0545	HOT	HOT149	6/19/03	175	22.75	-158	0.2
